date,tesla report,tesla good,tesla bad,tesla up,tesla down,tesla stock,facebook report,facebook good,facebook bad,facebook up,facebook down,facebook stock,microsoft report,microsoft good,microsoft bad,microsoft up,microsoft down,microsoft stock,amazon report,amazon good,amazon bad,amazon up,amazon down,amazon stock,google report,google good,google bad,google up,google down,google stock,uber report,uber good,uber bad,uber up,uber down,uber stock,lyft report,lyft good,lyft bad,lyft up,lyft down,lyft stock,apple report,apple good,apple bad,apple up,apple down,apple stock,snap report,snap good,snap bad,snap up,snap down,snap stock
2019-10-07,10,21,13,3,7,15,93,73,64,45,14,52,76,90,35,83,34,43,34,60,70,54,66,24,84,87,87,92,58,57,49,49,57,77,27,21,56,45,68,44,32,50,39,74,77,59,42,44,34,38,29,64,43,24
2019-10-08,22,13,16,3,33,17,86,79,74,49,15,52,69,55,27,74,27,45,42,52,68,53,71,26,81,86,97,87,56,62,34,75,82,75,30,20,47,61,34,42,32,46,28,65,64,62,49,48,26,71,65,72,34,24
2019-10-09,24,20,13,3,24,16,75,87,66,47,12,50,68,88,36,79,30,49,50,66,63,55,53,27,87,86,84,91,60,60,25,63,39,82,33,21,47,61,34,48,0,43,43,68,73,60,50,45,34,56,44,85,71,24
2019-10-10,20,22,14,4,18,16,80,86,62,100,11,50,57,56,44,88,25,34,42,54,70,63,63,26,80,90,79,95,54,54,46,64,36,62,22,19,28,40,34,44,32,46,40,77,84,63,51,48,25,21,65,82,9,19
2019-10-11,8,20,22,4,20,15,73,79,100,50,12,56,55,80,45,73,26,48,30,55,71,53,57,29,71,77,80,87,52,62,37,50,39,85,53,22,67,31,46,55,49,43,37,70,68,57,48,61,52,65,44,65,6,23
2019-10-12,19,15,21,3,21,7,76,86,79,49,13,29,36,49,23,63,12,17,35,68,68,51,61,13,48,57,74,72,35,29,17,73,49,73,25,9,32,36,39,44,37,18,34,73,84,64,52,22,29,53,57,52,28,8
2019-10-13,11,23,14,3,14,4,65,78,97,54,13,23,32,67,30,49,20,10,30,71,62,56,57,10,56,65,70,68,39,23,24,48,76,68,47,5,63,51,38,79,36,15,36,96,84,61,69,18,0,72,41,74,17,3
2019-10-14,13,19,16,5,17,14,88,79,77,48,12,46,56,75,66,77,28,36,38,58,70,56,54,22,77,80,86,95,52,51,37,52,36,84,33,21,55,30,0,44,32,51,41,69,73,58,50,42,59,55,65,84,100,16
2019-10-15,25,20,13,4,16,16,83,85,89,48,11,58,69,75,100,81,38,51,41,59,61,50,61,26,86,89,94,92,55,64,27,71,24,69,27,25,56,31,34,59,0,50,42,76,82,49,46,48,42,42,43,72,30,26
2019-10-16,17,10,13,5,16,15,76,79,83,49,12,58,90,80,44,87,31,44,41,66,59,55,60,28,89,87,92,93,54,58,55,69,47,60,41,17,28,40,68,28,62,43,39,64,80,56,60,45,100,42,43,86,27,23
2019-10-17,21,19,13,2,22,20,80,83,77,45,14,54,53,78,40,71,28,40,37,64,68,51,61,30,77,84,86,90,58,61,25,52,43,80,22,19,28,51,45,41,98,44,33,69,71,52,47,42,42,43,51,73,34,21
2019-10-18,26,23,13,5,15,15,78,75,76,48,13,54,64,66,50,67,44,44,30,62,71,48,66,28,79,87,84,91,56,60,54,62,30,78,34,20,30,32,71,43,33,37,47,72,70,52,44,42,35,70,60,75,13,26
2019-10-19,15,10,19,3,10,5,71,83,72,47,13,28,25,53,37,43,14,13,23,70,56,63,66,12,43,51,55,68,32,26,31,76,65,81,25,7,31,57,58,58,0,19,27,76,78,61,52,16,38,72,37,78,7,9
2019-10-20,11,20,6,4,10,4,68,83,84,47,13,19,30,53,37,41,22,11,25,87,68,58,64,10,52,69,65,74,38,25,27,39,54,95,43,6,47,68,38,57,70,10,27,86,92,56,43,12,38,91,48,88,35,4
2019-10-21,26,19,16,3,9,14,78,91,79,48,11,56,81,74,60,66,26,41,47,67,71,62,70,27,76,88,83,91,51,58,57,39,42,85,32,19,55,45,33,53,31,50,44,75,66,49,54,46,83,46,42,71,18,44
2019-10-22,16,24,16,4,21,15,83,93,74,44,12,67,89,79,82,71,24,54,38,62,73,56,70,30,82,88,91,90,57,69,49,42,27,65,21,23,53,57,32,51,31,96,46,81,73,51,50,53,48,41,55,75,9,100
2019-10-23,100,24,20,4,14,39,86,83,67,46,11,72,100,86,26,70,44,75,45,59,69,53,69,28,84,92,81,91,54,66,54,78,33,60,32,21,36,59,50,41,48,56,49,80,71,50,56,53,58,84,50,79,27,81
2019-10-24,57,19,24,7,24,82,80,83,70,47,14,71,77,81,87,64,36,85,62,67,65,60,71,55,78,88,81,86,58,79,42,100,52,70,35,19,41,45,83,50,31,58,44,69,71,53,42,57,25,42,64,91,18,43
2019-10-25,25,35,15,4,21,63,89,86,77,48,11,66,76,87,60,61,28,72,40,60,63,53,84,100,75,74,80,86,51,75,42,52,45,80,23,20,73,47,71,79,33,36,61,67,64,52,45,59,89,71,30,69,22,36
2019-10-26,16,9,15,5,18,23,75,80,76,47,12,38,29,46,43,50,11,84,37,70,64,53,71,31,49,61,50,71,33,30,33,51,64,78,43,6,85,74,41,100,51,19,49,88,79,53,50,21,41,46,44,88,22,10
2019-10-27,10,26,8,5,13,11,73,79,82,46,11,27,25,51,45,42,21,34,33,72,63,58,80,16,53,62,60,69,33,29,21,71,55,91,41,6,63,53,97,80,36,15,33,80,74,52,50,16,58,39,66,88,35,3
2019-10-28,16,26,27,5,38,36,78,77,58,45,12,61,70,51,65,67,32,100,33,62,70,51,79,38,89,80,86,90,57,100,42,68,66,82,21,17,91,44,67,81,73,40,58,80,82,46,100,60,33,96,64,97,24,30
2019-10-29,15,22,16,5,18,32,84,83,69,47,14,69,86,66,22,82,21,73,44,64,51,57,65,35,76,83,85,93,57,94,39,51,43,69,33,20,98,61,0,98,80,47,67,84,78,52,61,65,33,68,86,94,18,29
2019-10-30,25,21,11,3,18,26,92,85,65,45,21,99,54,78,47,74,33,54,41,63,69,53,71,31,81,87,84,96,58,76,66,68,37,75,30,21,100,70,33,72,31,93,100,81,70,53,45,88,42,54,42,80,21,30
2019-10-31,16,20,17,3,15,22,72,95,84,46,12,100,70,73,45,81,25,50,35,63,57,53,54,31,77,80,72,93,54,68,53,58,78,88,50,24,66,0,46,78,33,100,44,76,65,55,49,80,69,57,88,61,31,27
2019-11-01,16,16,9,4,14,19,71,84,64,47,11,72,55,72,42,84,21,57,29,63,62,52,55,29,70,89,75,84,51,83,48,62,40,81,52,25,74,42,36,80,67,62,43,68,73,57,48,71,45,63,46,73,32,28
2019-11-02,9,17,20,3,18,7,65,87,77,46,13,30,27,47,34,39,14,21,28,69,62,50,64,14,53,64,53,67,37,34,44,55,64,78,46,9,31,68,38,46,70,22,33,82,76,59,59,28,19,38,57,60,27,13
2019-11-03,9,20,22,4,16,6,82,97,80,50,12,27,19,60,63,52,14,17,28,81,68,61,69,12,48,62,64,70,38,30,30,38,53,80,30,6,46,66,38,70,35,17,26,89,71,60,49,20,28,52,84,75,10,6
2019-11-04,12,11,23,4,19,20,84,83,74,47,12,65,61,89,44,89,29,60,41,68,75,48,72,31,86,87,80,92,58,68,100,66,52,92,49,62,55,45,34,78,0,73,45,80,76,49,47,62,17,59,43,70,15,30
2019-11-05,5,20,14,4,25,19,81,75,62,45,12,69,54,51,34,100,25,57,31,69,64,51,65,32,87,81,78,89,68,68,75,63,47,83,40,85,45,59,100,40,31,93,61,86,84,55,39,59,41,54,71,79,27,31
2019-11-06,20,11,11,4,11,20,76,79,74,45,15,64,67,85,47,74,32,49,41,61,59,57,68,29,88,92,92,86,57,71,60,79,70,83,27,100,82,59,44,68,0,94,43,76,68,50,43,60,33,70,64,77,20,30
2019-11-07,18,23,12,6,18,22,75,83,78,45,12,69,62,74,43,84,36,58,45,72,69,54,79,30,84,90,87,88,60,74,54,56,71,59,32,67,82,50,33,34,62,77,44,75,59,49,35,59,66,62,32,56,6,25
2019-11-08,24,17,18,6,26,24,71,87,71,45,14,65,42,74,31,86,24,53,39,66,66,49,68,31,75,82,78,90,56,72,46,65,53,91,42,41,47,31,68,54,48,54,45,83,77,54,48,57,17,73,44,61,18,19
2019-11-09,28,21,12,5,25,9,62,79,72,47,10,29,18,50,29,45,15,22,45,76,65,67,74,14,51,59,54,73,38,28,36,58,48,83,31,14,0,100,75,42,35,17,30,84,68,57,37,20,19,62,89,74,20,8
2019-11-10,13,27,18,4,22,6,61,76,72,47,15,25,28,62,29,54,21,16,30,86,77,53,78,11,51,64,58,66,32,31,23,81,32,76,57,10,31,34,37,42,0,17,33,78,66,60,51,15,37,56,55,92,30,6
2019-11-11,15,20,14,5,16,20,78,93,72,47,13,53,61,81,43,69,30,45,43,80,73,60,66,26,78,74,84,87,61,59,42,80,57,67,43,39,28,44,49,52,63,48,46,81,72,55,48,48,17,42,35,98,33,22
2019-11-12,18,25,12,5,16,24,88,94,63,46,16,68,76,99,30,84,19,49,51,76,59,54,90,28,82,95,87,96,59,66,45,48,42,85,27,37,63,44,66,28,31,52,38,78,76,58,41,56,50,58,63,83,24,23
2019-11-13,15,16,36,5,18,28,100,85,68,45,12,67,77,77,65,75,21,56,44,71,70,54,94,29,86,100,84,89,60,68,33,73,43,77,43,29,82,50,67,56,0,29,38,83,79,56,56,57,33,54,36,81,24,22
2019-11-14,15,17,16,5,18,23,73,93,62,43,11,60,64,96,51,75,30,56,53,74,53,52,72,29,77,87,83,91,60,65,41,62,37,77,24,31,54,44,33,58,31,53,37,81,70,54,47,56,49,33,21,62,26,17
2019-11-15,10,8,15,4,19,21,72,94,81,45,15,60,60,76,53,68,19,65,47,78,64,59,72,32,78,88,87,89,51,72,56,65,63,74,39,34,56,90,34,58,32,44,43,79,62,50,55,57,26,51,22,72,31,20
2019-11-16,19,19,18,4,21,9,65,90,67,50,14,34,34,69,29,49,10,35,38,83,66,67,70,16,48,71,62,71,36,31,38,50,69,72,34,13,63,34,57,68,36,18,33,93,74,62,39,29,38,62,49,87,37,9
2019-11-17,9,22,8,4,23,6,68,97,73,46,11,24,20,69,37,54,17,23,49,86,86,67,79,12,55,70,67,70,34,29,38,64,81,87,31,9,63,34,57,64,36,12,32,83,69,60,44,19,19,48,74,93,24,7
2019-11-18,18,30,23,4,13,23,78,87,61,43,27,61,64,83,52,80,41,63,46,85,75,66,78,27,84,87,100,98,54,68,42,41,42,86,22,29,42,29,55,66,42,47,49,76,73,53,52,55,33,59,35,100,12,28
2019-11-19,10,11,18,5,20,23,84,90,80,43,15,68,56,86,43,86,33,65,48,79,69,58,65,31,100,97,91,99,63,72,30,53,61,80,19,29,0,50,0,62,47,45,39,84,58,55,32,55,49,59,78,88,24,25
2019-11-20,28,26,18,6,16,23,93,83,80,48,14,64,62,83,44,83,84,61,52,78,65,64,74,28,83,94,94,100,58,68,67,62,72,75,14,30,37,0,34,41,48,40,43,81,76,51,41,52,59,55,50,81,60,26
2019-11-21,22,24,13,13,26,27,84,93,69,44,13,62,53,57,62,82,33,54,52,69,72,57,73,28,96,94,90,93,53,73,46,60,58,78,30,37,37,61,51,64,54,61,59,86,70,53,45,50,34,81,44,67,25,26
2019-11-22,82,100,100,100,100,100,86,81,74,45,12,61,57,70,49,72,24,51,40,75,70,57,69,26,67,88,81,90,56,66,37,58,64,95,21,38,29,31,35,59,32,55,35,83,79,55,49,49,17,65,44,77,25,27
2019-11-23,42,74,84,58,90,49,63,88,77,44,10,31,35,42,49,52,11,23,44,78,72,62,73,13,46,63,58,73,36,29,37,85,58,87,24,13,31,67,38,60,36,17,28,81,63,57,42,19,19,71,36,79,14,5
2019-11-24,30,61,54,41,71,34,65,80,81,47,16,26,30,57,39,43,18,17,44,94,80,84,75,11,55,68,58,72,33,29,51,49,90,91,36,9,30,33,37,59,35,16,25,94,72,53,50,15,55,75,36,86,40,6
2019-11-25,48,66,48,39,56,51,74,87,87,43,13,59,47,69,52,65,26,56,53,87,82,74,82,29,84,85,79,87,50,60,72,85,66,77,86,55,37,44,33,72,0,62,50,95,75,52,48,46,33,58,64,83,9,17
2019-11-26,28,44,44,23,47,37,79,86,56,42,14,60,75,69,34,80,24,57,54,74,77,69,77,29,80,78,70,87,44,61,45,63,66,67,100,38,28,61,33,50,62,42,39,89,75,56,48,52,41,100,63,66,27,19
2019-11-27,22,40,34,21,27,28,74,90,61,46,11,67,56,95,61,71,15,49,63,75,76,64,72,30,70,72,63,83,43,55,45,68,61,61,49,28,37,30,67,41,31,40,36,100,60,55,59,50,50,64,35,96,27,19
2019-11-28,22,28,27,15,37,18,72,81,65,45,100,36,51,87,31,59,25,25,53,77,80,65,82,20,62,63,52,75,41,32,40,32,62,58,25,11,28,61,34,51,63,15,39,96,59,62,81,26,34,81,50,81,9,7
2019-11-29,17,27,32,13,22,17,63,67,55,41,18,46,42,97,26,55,23,30,100,100,100,100,100,25,58,61,60,77,41,42,27,44,57,67,36,11,28,46,34,28,0,20,49,93,80,65,74,36,42,38,51,81,9,11
