,times,open,high,low,close,volume
32,2019-10-18,139.76,140.0,136.56,137.41,30650850.0
33,2019-10-17,140.95,141.42,139.02,139.69,22102797.0
34,2019-10-16,140.79,140.99,139.53,140.41,20841687.0
35,2019-10-15,140.06,141.79,139.81,141.575,19917762.0
36,2019-10-14,139.69,140.29,139.52,139.55,13591639.0
37,2019-10-11,140.12,141.03,139.5,139.68,25551065.0
38,2019-10-10,138.49,139.6699,138.25,139.1,18396605.0
39,2019-10-09,137.46,138.7,136.97,138.24,20178482.0
40,2019-10-08,137.08,137.76,135.62,135.67,26783336.0
41,2019-10-07,137.14,138.18,137.02,137.12,16601284.0
42,2019-10-04,136.75,138.25,136.42,138.12,23839548.0
43,2019-10-03,134.95,136.75,133.22,136.28,26379798.0
44,2019-10-02,136.25,136.37,133.5799,134.65,32001763.0
45,2019-10-01,139.66,140.25,137.0,137.07,22581929.0
46,2019-09-30,138.05,139.215,137.78,139.03,18430390.0
47,2019-09-27,140.15,140.36,136.645,137.73,22498958.0
48,2019-09-26,139.44,140.18,138.44,139.54,17813512.0
49,2019-09-25,137.5,139.958,136.03,139.36,22544054.0
50,2019-09-24,140.36,140.69,136.88,137.38,30016670.0
51,2019-09-23,139.23,139.63,138.44,139.14,17408374.0
52,2019-09-20,141.01,141.65,138.25,139.44,40040766.0
53,2019-09-19,140.3,142.37,140.0736,141.07,36095413.0
54,2019-09-18,137.36,138.67,136.5299,138.52,24473386.0
55,2019-09-17,136.96,137.52,136.425,137.39,17976285.0
56,2019-09-16,135.83,136.7,135.66,136.33,16731440.0
57,2019-09-13,137.78,138.06,136.57,137.32,23363057.0
58,2019-09-12,137.85,138.42,136.87,137.52,27009981.0
59,2019-09-11,135.91,136.27,135.09,136.12,24726117.0
60,2019-09-10,136.8,136.8862,134.51,136.08,28903378.0
61,2019-09-09,139.59,139.75,136.46,137.52,25773932.0
62,2019-09-06,140.03,140.18,138.2,139.1,20824504.0
63,2019-09-05,139.11,140.3837,138.76,140.05,26119520.0
64,2019-09-04,137.3,137.69,136.48,137.63,18015310.0
65,2019-09-03,136.61,137.2,135.7,136.04,18880773.0
66,2019-08-30,139.15,139.18,136.27,137.86,23946123.0
67,2019-08-29,137.25,138.44,136.91,138.12,20179716.0
68,2019-08-28,134.88,135.76,133.55,135.56,17343042.0
69,2019-08-27,136.39,136.72,134.66,135.74,23115635.0
70,2019-08-26,134.99,135.56,133.9,135.45,20325271.0
71,2019-08-23,137.1897,138.35,132.8,133.39,38515386.0
72,2019-08-22,138.66,139.2,136.29,137.78,18709662.0
73,2019-08-21,138.55,139.4935,138.0,138.79,14982314.0
74,2019-08-20,138.21,138.71,137.24,137.26,21188998.0
75,2019-08-19,137.855,138.55,136.885,138.41,24370543.0
76,2019-08-16,134.88,136.46,134.72,136.13,25026151.0
77,2019-08-15,134.39,134.58,132.25,133.68,28125416.0
78,2019-08-14,136.36,136.92,133.67,133.98,32527251.0
79,2019-08-13,136.05,138.8,135.0,138.6,25496593.0
80,2019-08-12,137.07,137.86,135.24,135.79,20484348.0
81,2019-08-09,138.61,139.38,136.46,137.71,23466701.0
82,2019-08-08,136.6,138.99,135.93,138.89,27496508.0
83,2019-08-07,133.79,135.65,131.8284,135.28,33414539.0
84,2019-08-06,133.8,135.68,133.21,134.69,32696651.0
85,2019-08-05,133.3,133.9298,130.78,132.21,42749551.0
86,2019-08-02,138.09,138.32,135.26,136.9,30791624.0
87,2019-08-01,137.0,140.9383,136.93,138.06,40557502.0
88,2019-07-31,140.33,140.49,135.08,136.27,38598786.0
89,2019-07-30,140.14,141.2199,139.8005,140.35,16846528.0
90,2019-07-29,141.5,141.51,139.3663,141.03,16605870.0
91,2019-07-26,140.37,141.675,140.3,141.34,19037600.0
92,2019-07-25,140.43,140.61,139.3215,140.19,18356859.0
93,2019-07-24,138.9,140.74,138.85,140.72,20738275.0
94,2019-07-23,139.76,139.99,138.03,139.29,18034589.0
95,2019-07-22,137.41,139.19,137.33,138.43,25080760.0
96,2019-07-19,140.22,140.67,136.45,136.62,48992364.0
97,2019-07-18,135.55,136.62,134.67,136.42,30808707.0
98,2019-07-17,137.7,137.93,136.22,136.27,20210956.0
99,2019-07-16,138.96,139.05,136.52,137.08,22726128.0
